Order,p,d,q,Split,Split_Ratio,Train_Size,Test_Size,MAPE,MAE,RMSE,R2,AIC,BIC,Converged,Status
"(1, 2, 5)",1,2,5,75:25,0.75,45,15,7.825819039060433,150.06226093627177,182.42504570755054,0.6183067371053059,351.32125017397095,364.20859347512476,True,Success
"(1, 2, 5)",1,2,5,80:19,0.8,48,12,19.581173731713697,386.4736316762655,410.28465917895807,-0.8291193254211622,380.7931049045193,394.3041405374308,True,Success
"(1, 2, 5)",1,2,5,85:15,0.85,51,9,8.090639823605075,184.11684673552057,231.70893906150923,0.4102951505723358,446.6640887862855,460.753689711834,True,Success
"(1, 2, 6)",1,2,6,70:30,0.7,42,18,6.442105814392087,125.0580071737181,147.76409808492494,0.7893859808248006,305.6790623534022,319.1476304066005,True,Success
"(1, 2, 6)",1,2,6,75:25,0.75,45,15,7.123735140455762,140.0804014188234,158.94140924041727,0.7102525078824402,342.3941502427066,356.64582068881157,True,Success
"(1, 2, 6)",1,2,6,80:19,0.8,48,12,19.535824857497552,385.1163029751683,409.3087221185339,-0.8204278854755092,374.20568417643244,389.17773899159926,True,Success
"(1, 2, 6)",1,2,6,85:15,0.85,51,9,8.070729242037554,184.44960085936646,234.71724961685354,0.3948833025993602,439.53387683893766,455.17290340348796,True,Success
"(2, 2, 1)",2,2,1,70:30,0.7,42,18,6.281625786929242,132.66817733816424,190.46634952543604,0.6500661639054106,352.72607893159505,360.914009730227,True,Success
"(2, 2, 1)",2,2,1,75:25,0.75,45,15,10.043609387539053,219.47678852981082,299.3358496333478,-0.027692134199478025,382.86884969266293,391.43671002618447,True,Success
"(2, 2, 1)",2,2,1,80:19,0.8,48,12,18.87375290930825,372.7764324743761,396.61790844020334,-0.7092914520267743,421.6147176922119,430.53566586180324,True,Success
"(2, 2, 1)",2,2,1,85:15,0.85,51,9,6.7697050295226395,155.80380228878886,201.80915418885803,0.5526670939766556,490.3890455555525,499.6397835641028,True,Success
"(2, 2, 4)",2,2,4,70:30,0.7,42,18,6.115702093118007,120.70297538432877,144.1921049318009,0.7994455121166861,323.68324265509256,336.12602714700785,True,Success
"(2, 2, 4)",2,2,4,75:25,0.75,45,15,6.124660379944875,134.45727869300038,195.06513069879477,0.5635797908426963,356.649520820083,369.75021009789407,True,Success
"(2, 2, 4)",2,2,4,80:19,0.8,48,12,17.329792526781738,341.2534843641357,366.6543281088775,-0.4607810041140963,395.6901845390774,409.39876107271186,True,Success
"(2, 2, 4)",2,2,4,85:15,0.85,51,9,7.925687576240321,177.53487699947627,209.7582285643262,0.5167330056180863,457.98237905058977,472.25589612193585,True,Success
